10,12,2023,427189
10,12,6463,424019
10,12,1603,427005
12,12,626,362870
12,12,1616,361575
12,12,795,361336
14,12,7608,315044
14,12,52,315411
14,12,428,312208
16,12,2075,277801
16,12,2056,277327
16,12,301,277764
18,12,772,248054
18,12,6948,247645
18,12,1875,248640
20,12,963,223391
20,12,1271,224016
20,12,237,224160
22,0,0,329520
22,12,280,195305
22,12,4422,204289
24,12,1838,186561
24,12,663,187280
24,12,3249,187311
26,12,3638,165010
26,12,605,171482
26,12,682,172348
28,12,416,160212
28,12,3657,159337
28,12,448,159195
30,12,2342,148954
30,12,3255,149266
30,12,399,149272
32,12,1619,139944
32,12,1649,125320
32,12,684,139383
34,12,657,131457
34,12,1382,129542
34,12,2759,131346
36,12,1941,123917
36,12,8003,123819
36,12,3565,123704
38,12,267,117811
38,12,5231,117140
38,12,408,117107
40,12,5369,110542
40,12,1275,111173
40,12,1562,110910
42,12,3776,104203
42,12,1059,105343
42,12,2560,105235
44,12,1181,100198
44,0,0,242041
44,12,4969,99965
46,12,276,96036
46,12,196,93284
46,12,9376,95211
48,12,1676,91654
48,12,1641,91405
48,12,874,91542
50,12,2373,87326
50,12,2573,87649
50,0,0,207338
52,12,2284,83511
52,12,4206,84097
52,12,2983,79181
54,12,451,51051
54,12,3166,80673
54,12,269,80380
56,12,511,76815
56,12,7797,77116
56,12,7304,77365
58,12,3891,74418
58,12,2266,73822
58,12,5184,74175
60,12,1347,71181
60,12,6461,71148
60,12,2395,71668
62,12,3252,68794
62,12,1703,66014
62,12,2732,69119
64,12,4093,66473
64,12,4813,66305
64,12,1395,66513
66,12,643,64464
66,12,720,60792
66,12,745,63436
68,12,3629,61399
68,12,581,55125
68,12,309,56953
70,12,166,61070
70,12,2661,61428
70,12,205,61238
72,12,384,59771
72,12,7697,59485
72,12,698,59687
74,0,0,86963
74,12,1822,57864
74,12,504,57587
76,12,587,56062
76,12,56,55763
76,12,409,56139
78,12,302,54579
78,12,812,54477
78,12,169,54568
80,12,2474,53069
80,12,4847,52470
80,12,366,52924
82,0,0,109185
82,12,532,51282
82,12,3980,51611
84,12,2141,50169
84,12,1220,48721
84,12,2141,49858
86,0,0,71161
86,12,12328,48592
86,0,0,104597
88,12,330,47073
88,12,5286,47377
88,12,1142,47217
90,12,10757,46202
90,12,4200,46270
90,12,1426,45902
92,12,6224,45032
92,12,2337,44838
92,12,6149,44970
94,12,2995,43603
94,12,2668,43853
94,12,838,43199
96,12,836,42758
96,12,1383,42697
96,12,285,42710
98,12,647,41676
98,12,195,41595
98,12,679,41800
100,12,2900,36723
100,12,745,40558
100,12,1980,40703
102,12,780,39770
102,12,5837,39871
102,12,4786,39998
104,0,0,56421
104,12,359,38629
104,12,4459,39019
106,12,2254,37901
106,12,984,37916
106,12,152,37671
108,12,1276,37261
108,12,132,37176
108,12,260,36997
110,12,2378,36413
110,12,897,36320
110,12,600,35521
112,12,3444,35254
112,12,5793,35467
112,12,2211,35727
114,12,7478,34682
114,12,584,34531
114,12,410,34036
116,12,235,34111
116,0,0,69259
116,12,1531,34102
118,12,1088,33549
118,12,2059,32696
118,12,1831,33332
120,12,942,32585
120,12,873,32467
120,12,7309,32345
122,12,2015,32007
122,12,379,32110
122,12,1047,32102
124,0,0,45356
124,12,755,31492
124,12,125,31285
126,12,2033,30847
126,12,138,30819
126,12,2467,30709
128,12,1625,30164
128,12,1741,30233
128,12,3959,30375
130,12,1024,29332
130,12,4327,29746
130,12,1305,29638
132,12,3041,29187
132,12,706,28092
132,12,6060,29112
134,12,917,28530
134,12,2471,28627
134,12,875,28614
136,12,2806,27891
136,12,858,28171
136,12,2160,28102
138,12,688,27628
138,12,2201,27527
138,0,0,32
140,12,1103,27112
140,12,2329,26954
140,0,0,51653
142,12,5104,26657
142,12,2664,26567
142,0,0,37862
144,12,199,26134
144,12,6235,26140
144,12,7582,26171
146,12,1311,25698
146,12,2285,25789
146,12,11757,25542
148,12,8437,25227
148,12,1143,25001
148,12,2225,25069
150,12,802,24848
150,12,939,24674
150,12,52,24656
