low,median,high,generation
-395631428.245,-39473436.5968,389351566.355,28
-395631434.645,-29496333.214,365198252.215,29
-395631428.245,-26760776.75,365198254.265,30
-395631432.595,-73848575.4,389351561.455,31
-395631433.545,-53093398.4552,389351572.955,32
-395631432.545,-24573375.882,389351564.655,33
-395631433.195,-54997110.4621,389351573.805,34
-395631434.495,-30277919.618,365198241.015,35
-395631433.145,-71735367.5288,389351565.255,36
-395631433.095,-27570129.642,389351569.705,37
-395631432.295,-16746294.7244,389351564.055,38
-395631436.245,-39962771.698,389351568.655,39
-395631434.395,-33911266.2982,365198246.565,40
-395631432.995,-25690351.738,389351561.655,41
-395631434.995,-61433454.38,365198248.065,42
-395631437.895,-43915127.95,389351566.855,43
-395631431.445,-22428087.78,365198254.165,44
-395631436.495,-19029892.58,365198254.015,45
-395631435.495,-31189289.556,389351567.005,46
-395631433.845,-27172482.62,389351570.855,47
-395631433.545,-53827404.282,365198252.265,48
-395631436.445,-25690343.638,365198247.865,49
-395631436.495,-31399320.802,365198252.015,50
-395631434.945,-20185276.412,365198256.315,51
-395631433.295,-53058435.2944,339112654.232,52
-395631434.695,-39720136.3393,389351568.205,53
-395631438.345,-38059780.61,365198247.965,54
-395631436.095,-34462667.54,389351567.955,55
-395631434.945,-71769875.526,389351566.605,56
-395631437.045,-45394448.0163,365198248.415,57
-395631437.395,-32296440.9292,389351565.355,58
-395631435.145,-41447098.9366,389351564.255,59
-395631435.745,-64505119.684,389351567.105,60
-395631440.495,-37084821.38,389351570.555,61
-395631435.795,-49736520.654,389351562.055,62
-395631440.245,-43496896.39,365198242.715,63
-395631437.195,-33642117.12,389351561.355,64
-395631436.095,-22824876.6728,389351558.655,65
-395631434.995,-24370030.334,389351568.555,66
-395631436.195,-28156991.52,389351555.955,67
-395631438.695,-38059781.21,389351571.055,68
-395631436.195,-62798637.954,389351568.205,69
-395631437.495,-28259387.3068,389351567.205,70
-395631435.145,-32296441.8792,389351569.005,71
-395631436.945,-62108537.01,389351573.505,72
-395631436.895,-57437774.85,389351572.505,73
-98379927.5666,-1123768.56,72992372.74,0
-193778653.375,-0.2,142322981.947,1
-299135952.023,2.75,260855892.832,2
-292013673.604,-2017033.28632,273898685.474,3
-333729910.018,-757717.51,269137038.61,4
-323461302.752,-1026058.12413,333729919.668,5
-333729916.868,-13652583.8785,250297437.189,6
-333729918.518,-5945414.8,333729915.718,7
-350416408.914,-5817553.05,276125500.787,8
-395631428.845,-7942121.83676,389351566.955,9
-376791842.974,-9480970.292,254334488.211,10
-395631429.045,-4524994.403,365198244.515,11
-395631424.245,-14078493.435,389351566.555,12
-395631429.745,-8971230.072,389351566.255,13
-395631429.595,-18137498.426,389351566.555,14
-395631433.195,-32296443.4792,389351571.855,15
-395631435.645,-6257430.20472,389351565.555,16
-395631436.795,-9880903.83,389351566.105,17
-395631437.345,-23187179.3184,365198245.065,18
-395631439.195,-22853241.8238,389351571.155,19
-395631437.395,-8074112.0448,389351571.905,20
-395631436.845,-34556322.845,389351566.955,21
-395631434.995,-19322651.682,389351565.505,22
-395631437.195,-33911261.6482,365198252.515,23
-395631438.395,-37265120.026,365198244.715,24
-395631437.095,-25231596.74,389351563.455,25
-395631437.345,-31882386.5128,389351569.405,26
-395631435.345,-32296435.2292,389351571.205,27
-395631435.245,-28259379.3068,339112662.682,28
-395631435.345,-61048150.118,389351565.305,29
-395631434.595,-36841867.8437,389351572.705,30
-395631433.545,-26974867.1724,389351569.705,31
-395631437.095,-31590772.82,365198254.515,32
-395631434.995,-11534435.664,389351567.005,33
-395631436.495,-33718576.703,389351566.005,34
-395631438.495,-1861615.36,389351563.955,35
-395631438.845,-37437650.512,339112663.882,36
-395631437.045,-24760608.1907,389351566.105,37
-395631435.845,-32896169.42,389351563.755,38
-395631435.795,-26450513.04,389351576.355,39
-395631438.445,-30024288.1,389351565.505,40
-395631437.345,-28259388.5068,389351570.605,41
-395631437.895,-28948632.0716,389351571.455,42
-395631435.995,-55050754.66,389351571.055,43
-395631438.345,-34253800.534,389351570.905,44
-395631438.045,-36519816.1865,389351573.505,45
-395631437.445,-48247727.736,389351574.655,46
-395631438.295,-28259382.1568,350416407.564,47
-395631437.495,-36519821.6365,365198245.165,48
-395631436.945,-40171798.5801,365198246.765,49
-395631439.845,-38059783.71,389351566.355,50
-395631436.045,-28259390.5068,389351571.205,51
-395631439.945,-33911263.8982,389351575.255,52
-395631437.895,-31399322.502,389351573.105,53
-395631439.445,-56518771.2136,389351566.755,54
-395631438.445,-29672345.2046,365198249.965,55
-395631440.195,-32764506.476,365198244.965,56
-395631440.945,-25433444.2111,365198247.165,57
-395631439.495,-61948620.2567,350416408.964,58
-395631439.345,-64505126.384,389351568.005,59
-395631438.945,-43475982.622,389351569.105,60
-395631437.395,-28259390.6568,389351559.455,61
-395631439.145,-34059183.45,389351568.355,62
-395631435.745,-39962770.348,365198250.065,63
-395631435.945,-45394445.6163,389351565.355,64
-395631437.545,-33911255.1982,389351564.455,65
-395631438.395,-26974873.8724,389351564.905,66
-395631436.345,-35526086.7171,389351567.705,67
-395631437.045,-43802052.383,389351568.505,68
-395631437.745,-88873718.9424,389351565.605,69
-395631438.445,-29672356.2046,389351571.355,70
-395631438.695,-53137308.538,389351566.155,71
-81650007.484,10.5,65345706.9064,0
-313993196.92,11.2,289839884.43,1
-327055320.47,15.7,350416408.814,2
-395631429.095,19966750.2964,365198255.465,3
-377371520.527,19847736.422,365198255.865,4
-376791836.424,20702856.27,365198257.415,5
-377371522.177,20749908.698,365198256.865,6
-339112653.082,15370301.98,365198255.465,7
-395631425.345,6103967.49,365198257.015,8
-395631431.495,23187201.0184,365198255.465,9
-395631433.495,13360922.7292,365198258.165,10
-376791837.124,30433193.5804,365198258.165,11
-376791839.924,9410394.15,365198257.815,12
-395631427.245,14.95,365198257.415,13
-395631431.195,13.0,365198257.415,14
-395631428.645,37559010.6326,365198255.865,15
-395631432.695,11.7,365198255.065,16
-395631424.595,18259918.8682,365198258.265,17
-395631426.595,17356465.7155,365198257.715,18
-395631430.545,13397229.7536,365198259.765,19
-395631432.295,24899877.1976,365198259.665,20
-395631426.795,14885808.704,365198257.815,21
-395631432.495,16701143.524,365198260.165,22
-395631427.645,28983983.048,365198258.365,23
-395631427.645,18444356.376,365198259.865,24
-395631435.895,27389876.5274,365198257.715,25
-395631428.995,47256511.4,365198257.515,26
-377371516.327,23515529.0,365198256.715,27
-395631430.195,27389876.3774,365198258.765,28
-359401444.285,36888715.452,365198259.915,29
-376791839.624,40082748.2876,365198260.415,30
-395631425.445,45090797.741,365198258.665,31
-377371520.277,23817291.6564,365198259.015,32
-395631428.645,24455241.328,365198260.265,33
-395631423.595,30075393.854,365198257.215,34
-395631423.195,23549488.314,365198258.765,35
-395631430.745,33402297.948,365198259.915,36
-395631429.495,28983994.698,365198259.765,37
-395631432.045,36888722.302,365198257.265,38
-395631434.945,48306649.43,365198259.065,39
-395631432.095,45215023.8809,365198258.115,40
-395631427.845,29215862.5992,365198257.865,41
-377371514.227,20677609.844,365198257.215,42
-395631431.845,42945787.126,365198258.415,43
-377371514.727,59543201.666,365198258.015,44
-395631432.845,36888705.752,365198256.965,45
-395631438.995,36519828.2365,365198254.665,46
-395631432.045,28983994.098,365198258.365,47
-395631434.145,64692265.7303,365198258.165,48
-395631423.595,36387512.982,365198257.015,49
-395631433.595,21564100.8101,365198257.215,50
-395631429.145,57062236.132,365198257.165,51
-395631422.295,56518781.3136,365198258.215,52
-395631427.595,34998170.885,365198259.765,53
-395631429.045,36888715.252,365198256.165,54
-395631430.295,48444666.7688,365198258.115,55
-395631429.745,36888710.102,365198257.615,56
-395631432.845,57967981.846,365198258.365,57
-395631433.745,28983987.048,365198257.265,58
-395631426.345,28630530.984,365198258.665,59
-376791844.274,55552639.842,365198255.865,60
