low,median,high,generation
0,92,199,0
0,99,198,1
0,98,200,2
0,95,199,3
0,98,200,4
0,103,200,5
0,95,200,6
0,102,200,7
0,105,200,8
0,107,200,9
0,95,200,10
0,97,200,11
0,99,200,12
0,94,200,13
0,106,200,14
0,107,200,15
0,104,200,16
0,101,200,17
0,99,200,18
0,96,197,19
0,103,200,20
0,105,199,21
0,97,199,22
0,102,199,23
0,99,200,24
0,99,200,25
0,98,199,26
0,97,200,27
0,96,198,28
0,98,200,29
0,98,199,30
0,102,200,31
0,101,200,32
0,102,199,33
0,107,200,34
0,94,200,35
0,102,200,36
0,95,200,37
0,97,200,38
0,102,200,39
0,101,200,40
0,106,200,41
0,96,200,42
0,103,200,43
0,100,200,44
0,100,200,45
0,96,200,46
0,104,200,47
0,101,200,48
0,99,200,49
0,103,200,50
0,100,200,51
0,104,200,52
0,107,200,53
0,99,200,54
0,108,200,55
0,96,200,56
0,100,200,57
0,95,199,58
0,97,200,59
0,94,200,60
0,99,200,61
0,104,200,62
0,102,200,63
0,99,200,64
0,96,200,65
0,98,199,66
0,99,196,67
0,99,200,68
0,106,200,69
0,102,200,70
0,100,200,71
0,108,200,72
0,101,200,73
0,104,200,74
0,98,198,75
0,91,199,76
0,95,200,77
0,93,200,78
0,99,200,79
0,99,197,80
0,103,200,81
0,101,200,82
0,104,198,83
0,99,200,84
0,103,199,85
0,98,200,86
0,99,200,87
0,99,197,88
0,103,199,89
0,110,200,90
0,99,199,91
0,106,200,92
0,98,199,93
0,102,199,94
0,104,200,95
0,100,200,96
0,103,200,97
0,104,199,98
0,103,199,99
0,98,200,100
0,102,200,101
0,101,200,102
0,104,200,103
0,97,200,104
0,109,200,105
0,99,199,106
0,103,200,107
0,101,200,108
0,98,200,109
0,100,200,110
0,104,200,111
0,100,200,112
0,104,200,113
0,101,198,114
0,100,200,115
0,100,200,116
0,101,200,117
0,101,200,118
0,102,200,119
0,104,200,120
0,97,200,121
0,101,200,122
0,99,200,123
0,96,200,124
0,102,200,125
0,106,200,126
0,110,200,127
0,97,200,128
0,106,200,129
0,99,198,130
0,100,200,131
0,108,199,132
0,102,200,133
0,108,200,134
0,101,200,135
0,100,200,136
0,101,200,137
0,99,199,138
0,104,200,139
0,100,199,140
0,102,200,141
0,108,200,142
0,103,200,143
0,98,200,144
0,100,200,145
0,102,200,146
0,95,200,147
0,102,200,148
0,100,200,149
0,99,200,150
0,104,200,151
0,102,200,152
0,98,200,153
0,103,200,154
0,104,200,155
0,104,199,156
0,103,200,157
0,100,199,158
0,103,200,159
0,109,199,160
0,111,200,161
0,100,200,162
0,107,200,163
0,94,200,164
0,101,200,165
0,98,200,166
0,99,200,167
0,94,200,168
0,104,200,169
0,103,200,170
0,100,199,171
0,102,200,172
0,99,200,173
0,100,200,174
0,104,200,175
0,97,200,176
0,100,199,177
0,102,199,178
0,97,200,179
0,98,200,180
0,107,196,181
0,101,199,182
0,104,199,183
0,93,198,184
0,84,200,185
0,99,197,186
0,102,200,187
0,106,199,188
0,105,200,189
0,98,200,190
0,97,200,191
0,103,199,192
0,105,200,193
0,102,200,194
0,102,200,195
0,101,199,196
0,98,200,197
0,99,199,198
0,101,200,199
0,97,200,200
0,101,199,201
0,103,200,202
0,101,200,203
0,96,200,204
0,99,200,0
0,97,200,1
0,98,199,2
0,96,200,3
0,93,200,4
0,98,199,5
0,98,199,6
0,101,200,7
0,100,200,8
0,98,199,9
0,99,200,10
0,96,199,11
0,101,200,12
0,100,200,13
0,106,200,14
0,95,198,15
0,96,200,16
0,103,199,17
0,98,199,18
0,102,197,19
0,98,199,20
0,100,200,21
0,99,200,22
0,97,200,23
0,101,199,24
0,105,200,25
0,99,200,26
0,104,200,27
0,101,200,28
0,108,199,29
0,105,199,30
0,99,199,31
0,98,200,32
0,98,200,33
0,107,200,34
0,91,200,35
0,103,199,36
0,96,200,37
0,100,200,38
0,100,200,39
0,104,199,40
0,110,200,41
0,99,200,42
0,100,200,43
0,101,200,44
0,98,199,45
0,98,200,46
0,93,200,47
0,101,200,48
0,106,200,49
0,100,198,50
0,100,200,51
0,98,200,52
0,100,200,53
0,103,200,54
0,101,200,55
0,97,200,56
0,107,200,57
0,102,199,58
0,102,200,59
0,105,199,60
0,98,200,61
0,99,200,62
0,94,200,63
0,103,199,64
0,99,199,65
0,100,198,66
0,99,200,67
0,93,199,68
0,102,200,69
0,115,200,70
0,106,200,71
0,96,199,72
0,100,200,73
0,103,200,74
0,109,200,75
0,101,200,76
0,97,200,77
0,101,200,78
0,98,200,79
0,105,200,80
0,97,200,81
0,100,200,82
0,99,199,83
0,102,200,84
0,96,200,85
0,97,200,86
0,102,200,87
0,101,200,88
0,106,200,89
0,101,200,90
0,105,200,91
0,98,199,92
0,104,199,93
0,104,199,94
0,100,200,95
0,109,200,96
0,97,200,97
0,99,198,98
0,94,200,99
0,97,200,100
0,105,200,101
0,101,199,102
0,93,200,103
0,100,200,104
0,95,200,105
0,98,200,106
0,99,200,107
0,98,200,108
0,94,200,109
0,96,200,110
0,109,200,111
0,97,200,112
0,97,200,113
0,103,199,114
0,104,200,115
0,97,200,116
0,91,200,117
0,92,200,118
0,97,200,119
0,106,200,120
0,96,200,121
0,96,200,122
0,96,200,123
0,94,198,124
0,97,198,125
0,93,199,126
0,103,200,127
0,99,197,128
0,96,199,129
0,98,200,130
0,96,200,131
0,110,199,132
0,102,200,133
0,93,200,134
0,91,199,135
0,97,200,136
0,103,200,137
0,102,200,138
0,101,200,139
0,99,199,140
0,100,194,141
0,103,200,142
0,103,200,143
0,109,200,144
0,107,200,145
0,105,198,146
0,100,199,147
0,98,200,148
0,103,200,149
0,104,200,150
0,98,200,151
0,101,200,152
0,95,198,153
0,96,200,154
0,101,199,155
0,98,200,156
0,103,200,157
0,101,200,158
0,109,200,159
0,104,199,160
0,110,199,161
0,102,200,162
0,99,199,163
0,97,200,164
0,99,200,165
0,101,200,166
0,91,200,167
0,95,200,168
0,95,200,169
0,107,200,170
0,103,200,171
0,97,200,172
0,106,200,173
0,105,200,174
0,110,200,175
0,106,200,176
0,100,200,177
0,104,200,178
0,98,198,179
0,104,200,180
0,102,200,181
0,103,200,182
