low,median,high,generation
0,93,200,0
0,100,200,1
0,103,200,2
0,105,200,3
0,101,200,4
0,103,200,5
0,110,200,6
0,105,200,7
0,98,200,8
0,100,200,9
0,96,200,10
0,94,200,11
0,93,200,12
0,94,200,13
0,100,198,14
0,95,199,15
0,101,200,16
0,100,200,17
0,96,200,18
0,101,199,19
0,97,199,20
0,106,200,21
0,97,200,22
0,95,200,23
0,101,200,24
0,101,200,25
0,101,199,26
0,102,200,27
0,106,200,28
0,100,200,29
0,94,200,30
0,103,200,31
0,104,200,32
0,103,199,33
0,108,200,34
0,104,200,35
0,97,200,36
0,98,200,37
0,105,200,38
0,103,200,39
0,97,198,40
0,94,200,41
0,105,200,42
0,102,200,43
0,104,199,44
0,101,200,45
0,101,200,46
0,102,200,47
0,105,200,48
0,93,200,49
0,98,200,50
0,100,200,51
0,97,200,52
0,102,200,53
0,100,200,54
0,104,200,55
0,101,200,56
0,93,199,57
0,92,199,58
0,97,199,59
0,97,200,60
0,100,200,61
0,102,199,62
0,99,200,63
0,94,200,64
0,101,200,65
0,102,200,66
0,96,198,67
0,110,199,68
0,105,198,69
0,100,200,70
0,99,200,71
0,103,200,72
0,101,200,73
0,101,199,74
0,93,200,75
0,105,200,76
0,96,200,77
0,110,200,78
0,99,200,79
0,100,199,80
0,103,200,81
0,99,200,82
0,99,199,83
0,97,200,84
0,101,200,85
0,107,200,86
0,105,200,87
0,103,200,88
0,94,200,89
0,100,200,90
0,99,200,91
0,100,199,92
0,96,199,93
0,97,200,94
0,106,200,95
0,100,200,96
0,98,200,97
0,101,200,98
0,104,199,99
0,105,200,100
0,105,200,101
0,103,200,102
0,106,200,103
0,105,200,104
0,107,200,105
0,103,200,106
0,99,200,107
0,97,200,108
0,103,200,109
0,97,200,110
0,97,199,111
0,97,199,112
0,98,197,113
0,100,200,114
0,102,200,115
0,98,200,116
0,101,200,117
0,107,200,118
0,106,200,119
0,105,200,120
0,104,200,121
0,95,200,122
0,104,200,123
0,109,199,124
0,104,199,125
0,99,200,126
0,102,200,127
0,99,200,128
0,101,200,129
0,101,200,130
0,102,200,131
0,103,199,132
0,96,200,133
0,100,200,134
0,105,199,135
0,97,200,136
0,100,200,137
0,101,200,138
0,94,198,139
0,98,200,140
0,97,199,141
0,97,200,142
0,100,200,143
0,101,199,144
0,95,198,145
0,103,200,146
0,101,200,147
0,102,200,148
0,98,199,149
0,96,200,150
0,105,200,151
0,100,200,152
0,101,199,153
0,95,200,154
0,92,200,155
0,98,200,156
0,102,200,157
0,108,200,158
0,98,199,159
0,98,200,160
0,98,200,161
0,103,199,162
0,102,199,163
0,99,200,164
0,107,200,165
0,93,199,166
0,95,199,167
0,96,199,168
0,106,200,169
0,106,200,170
0,99,200,171
0,100,200,172
0,102,199,173
0,98,199,174
0,101,200,175
0,93,199,176
0,95,199,177
0,96,200,178
0,100,200,179
0,93,200,180
0,105,200,181
0,93,200,182
0,91,200,183
0,88,200,184
0,99,200,185
0,96,200,186
0,103,199,187
0,106,200,188
0,98,199,189
0,98,200,190
0,102,199,191
0,101,200,192
0,100,200,193
0,110,200,194
0,99,200,195
0,91,200,196
0,103,198,197
0,100,200,198
0,95,200,199
0,93,200,200
0,98,200,201
0,92,200,202
0,98,200,203
0,102,200,204
0,91,200,205
0,93,200,206
0,97,199,207
0,106,200,208
0,103,200,209
0,107,200,210
0,106,200,211
0,99,200,212
0,95,200,213
0,94,200,214
0,93,200,0
0,101,200,1
0,101,199,2
0,99,200,3
0,102,199,4
0,97,200,5
0,101,200,6
0,107,200,7
0,105,199,8
0,110,200,9
0,103,200,10
0,106,200,11
0,107,200,12
0,108,200,13
0,108,199,14
0,105,200,15
0,100,200,16
0,104,200,17
0,104,200,18
0,106,200,19
0,103,200,20
0,104,200,21
0,104,200,22
0,104,200,23
0,97,200,24
0,93,200,25
0,105,199,26
0,101,200,27
0,100,200,28
0,92,200,29
0,96,200,30
0,103,199,31
0,99,200,32
0,99,200,33
0,105,199,34
0,100,200,35
0,100,200,36
0,107,200,37
0,101,197,38
0,106,200,39
0,104,200,40
0,102,200,41
0,104,197,42
0,104,199,43
0,102,200,44
0,102,200,45
0,93,200,46
0,98,200,47
0,95,199,48
0,99,200,49
0,105,198,50
0,98,199,51
0,100,200,52
0,94,200,53
0,99,200,54
0,108,200,55
0,102,200,56
0,106,200,57
0,100,200,58
0,101,199,59
0,102,200,60
0,104,200,61
0,99,199,62
0,101,200,63
0,100,200,64
0,105,200,65
0,104,200,66
0,103,200,67
0,98,200,68
0,99,199,69
0,106,200,70
0,103,200,71
0,98,200,72
0,98,200,73
0,102,200,74
0,93,200,75
0,101,200,76
0,110,200,77
0,103,200,78
0,98,200,79
0,97,200,80
0,100,199,81
0,98,200,82
0,104,200,83
0,101,200,84
0,104,199,85
0,100,199,86
0,106,200,87
0,99,200,88
0,98,199,89
0,97,200,90
0,98,199,91
0,103,200,92
0,94,199,93
0,100,200,94
0,99,197,95
0,108,198,96
0,100,200,97
0,109,200,98
0,97,200,99
0,100,200,100
0,103,200,101
0,92,200,102
0,101,199,103
0,99,200,104
0,101,200,105
0,107,200,106
0,107,199,107
0,109,200,108
0,109,199,109
0,103,200,110
0,98,200,111
0,105,200,112
0,105,200,113
0,96,200,114
0,103,200,115
0,100,200,116
0,104,199,117
0,104,199,118
0,111,200,119
0,100,200,120
0,103,200,121
0,104,200,122
0,106,199,123
0,105,200,124
0,97,200,125
0,97,200,126
0,101,200,127
0,102,200,128
0,104,199,129
0,105,200,130
0,99,200,131
0,102,200,132
0,109,200,133
0,99,200,134
0,100,200,135
0,104,200,136
0,93,199,137
0,97,199,138
0,104,200,139
0,104,200,140
0,100,200,141
0,94,199,142
0,101,200,143
0,94,200,144
0,99,199,145
0,99,200,146
0,103,199,147
0,95,199,148
0,102,198,149
0,97,200,150
0,103,200,151
0,103,200,152
0,98,200,153
0,101,200,154
0,107,200,155
0,105,200,156
0,101,200,157
0,95,199,158
0,98,200,159
0,90,200,160
0,98,200,161
0,102,200,162
0,101,200,163
0,101,200,164
0,104,200,165
0,108,200,166
0,98,200,167
0,96,199,168
0,100,200,169
0,103,199,170
0,104,200,171
0,96,199,172
0,100,200,173
0,102,200,174
0,103,200,175
0,101,200,176
0,104,197,177
0,101,198,178
0,99,200,179
0,104,200,180
0,105,200,181
0,100,199,182
0,109,199,183
0,98,200,184
0,104,200,185
0,104,200,186
0,99,200,187
0,92,199,188
0,105,200,189
0,106,200,190
0,105,200,191
0,104,200,192
0,101,198,193
0,101,200,194
0,98,199,195
0,104,200,196
0,105,200,197
0,106,200,198
0,92,200,199
0,103,200,200
0,101,200,201
0,100,200,202
0,97,199,203
0,101,200,204
0,98,200,205
0,104,200,206
0,104,200,207
0,99,199,208
0,103,200,209
0,114,198,210
0,96,198,211
0,101,200,212
0,101,199,213
0,104,200,214
0,103,200,215
0,108,200,216
0,105,200,217
0,101,200,218
0,103,200,219
0,106,199,220
0,99,200,221
0,96,200,222
0,103,200,223
0,89,200,0
0,104,200,1
0,100,200,2
0,98,200,3
0,102,199,4
0,98,200,5
0,100,200,6
0,103,200,7
0,103,200,8
0,96,200,9
0,91,200,10
0,102,200,11
0,97,200,12
0,103,200,13
0,114,200,14
0,106,200,15
0,104,200,16
0,103,200,17
0,102,200,18
0,97,199,19
0,98,200,20
0,100,200,21
0,100,198,22
0,108,200,23
0,103,200,24
0,102,200,25
0,96,200,26
0,103,200,27
0,102,200,28
0,100,200,29
0,108,199,30
0,105,200,31
0,98,199,32
0,98,200,33
0,104,199,34
0,101,200,35
0,99,200,36
0,105,199,37
0,99,200,38
0,98,200,39
0,103,200,40
0,96,200,41
0,103,200,42
0,97,199,43
0,100,200,44
0,104,200,45
0,99,200,46
0,107,200,47
0,108,200,48
0,103,200,49
0,104,198,50
0,107,200,51
0,96,200,52
0,98,199,53
0,95,199,54
0,101,199,55
0,98,200,56
0,107,200,57
0,98,200,58
0,104,200,59
0,105,200,60
0,97,200,61
0,103,200,62
0,100,198,63
0,104,200,64
0,98,200,65
0,97,200,66
0,100,200,67
0,110,200,68
0,103,199,69
0,97,200,70
0,108,200,71
0,102,200,72
0,95,200,73
0,96,200,74
0,101,200,75
0,96,199,76
0,100,200,77
0,101,200,78
0,103,200,79
0,105,200,80
0,102,200,81
0,94,200,82
0,98,200,83
0,98,200,84
0,102,200,85
0,108,200,86
0,97,199,87
0,104,200,88
0,102,200,89
0,101,199,90
0,103,200,91
0,100,198,92
0,102,200,93
0,100,198,94
0,100,199,95
0,95,199,96
0,99,200,97
0,105,200,98
0,100,200,99
0,100,199,100
0,105,200,101
0,94,200,102
0,96,200,103
0,99,200,104
0,97,200,105
0,104,200,106
0,101,200,107
0,99,197,108
0,100,200,109
0,101,200,110
0,108,199,111
0,101,200,112
0,101,200,113
0,102,200,114
0,103,200,115
0,97,200,116
0,105,200,117
0,108,200,118
0,105,200,119
0,102,200,120
0,100,200,121
0,96,200,122
0,102,200,123
0,107,200,124
0,102,200,125
0,108,200,126
0,93,199,127
0,103,200,128
0,101,200,129
0,108,200,130
0,105,199,131
0,100,200,132
0,106,200,133
0,105,200,134
0,98,200,135
0,105,200,136
0,101,199,137
0,103,200,138
0,96,200,139
0,90,200,140
0,94,200,141
0,104,200,142
0,100,198,143
0,96,200,144
0,99,200,145
0,102,200,146
0,98,200,147
0,100,199,148
0,102,198,149
0,107,200,150
0,110,200,151
0,98,200,152
0,107,200,153
0,99,199,154
0,100,200,155
0,101,200,156
0,100,200,157
0,104,200,158
0,105,200,159
0,95,200,160
0,102,199,161
0,103,200,162
0,100,200,163
0,100,200,164
0,105,198,165
0,97,200,166
0,100,199,167
0,91,199,168
0,97,200,169
0,92,199,170
0,102,199,171
0,95,200,172
0,99,198,173
0,99,200,174
0,99,200,175
0,105,200,176
0,95,200,177
0,97,200,178
0,107,200,179
0,107,200,180
0,106,200,181
0,104,200,182
0,100,200,183
0,106,200,184
0,101,200,185
0,95,200,186
0,102,200,187
0,99,200,188
0,100,199,189
0,96,200,190
0,102,200,191
0,100,199,192
0,100,200,193
0,96,200,194
0,101,199,195
0,97,200,196
0,103,199,197
0,99,200,198
0,99,200,199
0,104,200,200
0,102,200,201
0,99,200,202
0,106,199,203
0,101,200,204
0,105,200,205
0,106,198,206
0,101,200,207
0,106,200,208
0,111,199,209
0,98,200,210
0,104,200,211
0,103,200,212
0,105,200,213
0,95,200,214
0,103,200,215
0,89,200,216
0,96,200,217
0,107,200,218
0,104,200,219
0,95,200,220
0,94,200,221
0,100,200,0
0,97,200,1
0,98,200,2
0,104,200,3
0,106,200,4
0,103,200,5
0,99,200,6
0,97,200,7
0,95,199,8
0,97,200,9
0,100,199,10
0,98,200,11
0,100,200,12
0,106,200,13
0,106,200,14
0,108,200,15
0,93,200,16
0,96,200,17
0,97,200,18
0,103,200,19
0,93,200,20
0,100,200,21
0,110,200,22
0,105,197,23
0,97,200,24
0,104,200,25
0,105,200,26
0,110,200,27
0,103,200,28
0,102,200,29
0,108,200,30
0,94,198,31
0,101,199,32
0,99,200,33
0,98,200,34
0,102,199,35
0,99,199,36
0,97,200,37
0,100,200,38
0,100,200,39
0,97,200,40
0,99,200,41
0,95,200,42
0,108,200,43
0,100,200,44
0,99,200,45
0,103,200,46
0,103,200,47
0,109,200,48
0,103,200,49
0,103,200,50
0,104,199,51
0,100,200,52
0,109,200,53
0,99,200,54
0,95,200,55
0,99,200,56
0,94,199,57
0,102,200,58
0,102,200,59
0,99,198,60
0,98,200,61
0,105,200,62
0,98,200,63
0,102,200,64
0,103,200,65
0,101,200,66
0,100,200,67
0,101,200,68
0,100,199,69
0,108,200,70
0,103,200,71
0,101,200,72
0,101,200,73
0,104,199,74
0,100,200,75
0,106,200,76
0,102,200,77
0,93,200,78
0,95,200,79
0,102,199,80
0,94,200,81
0,105,200,82
0,101,200,83
0,96,200,84
0,102,200,85
0,105,200,86
0,97,200,87
0,108,200,88
0,99,200,89
0,107,200,90
0,97,200,91
0,102,200,92
0,95,200,93
0,97,200,94
0,104,200,95
0,99,199,96
0,98,200,97
0,107,200,98
0,105,200,99
0,97,200,100
0,93,200,101
0,103,200,102
0,102,200,103
0,101,200,104
0,101,199,105
0,102,199,106
0,102,200,107
0,96,200,108
0,96,199,109
0,98,200,110
0,109,200,111
0,111,200,112
0,103,200,113
0,102,200,114
0,103,200,115
0,105,200,116
0,100,199,117
0,100,197,118
0,102,200,119
0,96,199,120
0,92,200,121
0,96,200,122
0,98,200,123
0,94,197,124
0,100,200,125
0,101,200,126
0,107,200,127
0,100,200,128
0,106,200,129
0,100,200,130
0,101,200,131
0,98,200,132
0,102,200,133
0,100,200,134
0,102,200,135
0,105,200,136
0,107,200,137
0,104,200,138
0,105,200,139
0,103,200,140
0,98,199,141
0,98,200,142
0,102,200,143
0,100,200,144
0,94,200,145
0,102,200,146
0,101,200,147
0,100,200,148
0,102,200,149
0,102,200,150
