2,00014000000
4,01820221921012019
6,2115210021140020
8,2027190016001212
10,01213161220002618
12,2020201916101619012
14,12201716161719181520
16,2216192019162619186
18,1518121622221718150
20,17161619191915181515
22,21191629131415152112
24,122421162101816250
26,0161212202015191521
28,1819120212316201819
30,16191518151219162920
32,21181128182121191815
34,1521122012214121918
36,20211415122519191519
38,11161825191816141121
40,18182612212020131618
42,20161617161520212018
44,21161928161820172616
46,17181321172621161516
48,21201515142012192018
50,19211922211216162120
52,20171516211620201816
54,12201511202316201915
56,20171718201515192418
58,14171515182014201525
60,27141618261912182012
62,17112619152216141915
64,20181613202422181418
66,19241921192415212015
68,14161616141619141514
70,21201513152219141517
72,16141520192012222118
74,19211721151615181627
76,20192115182320212116
78,19151919172016231615
80,15161220192018152517
82,19161720202026262018
84,21161913211620201319
86,20201516191620151216
88,14191821151425141614
90,20132123162121172218
92,15211919221620212517
94,20192120201815202119
96,16211716161913182014
98,19161519181418191920
100,16211820151612192019
102,19201719152117151224
104,13151817152015211618
106,16201319161818211818
108,18181717171521172015
110,20152224162012152418
112,18162214211918181816
114,20201615141421201828
116,21151618182019192121
118,19162019162019211916
120,19151512142618191515
122,16161619151919191919
124,19182023161915291720
126,18181816112221152215
128,14161715161920191826
130,14161519152519162018
132,16181927161913162020
134,19182111161615172619
136,16161215211517181622
138,19161619192216182217
140,16261716171617191715
142,21191919181514142117
144,15141916162417171815
146,18201419141316191916
148,16161618151812161820
