low,median,high,generation
-395631422.895,39563152.5395,204409582.288,0
-327055312.97,43397734.9554,245291502.865,1
-306614349.081,26644566.9378,245291503.365,2
-395631426.995,30661443.3331,247269657.022,3
-377371514.277,10685058.5055,304331877.454,4
-395631430.245,9675780.2026,304331878.204,5
-350416403.214,16.35,316505152.166,6
-395631428.145,3063090.5128,316505154.966,7
-395631430.295,6892539.798,365198251.915,8
-395631425.245,8197493.306,389351572.305,9
-395631432.595,4851930.03228,389351572.305,10
-395631425.995,14347079.5358,389351572.805,11
-395631428.195,10844899.25,389351572.105,12
-395631436.095,8615688.46,365198256.115,13
-395631437.445,7825684.31496,365198254.865,14
-395631428.245,12421717.142,365198254.865,15
-395631433.145,7272341.89168,365198257.315,16
-395631432.945,23055445.07,365198257.165,17
-395631434.245,9890795.43488,365198258.115,18
-395631430.245,37498041.9696,365198258.515,19
-377371521.627,22268187.182,365198259.465,20
-395631434.845,26721835.4584,389351567.055,21
-377371523.577,41267683.9012,389351561.155,22
-395631432.895,52171177.4164,389351569.205,23
-395631428.895,36519832.5365,389351562.955,24
-395631430.945,36888714.202,389351562.205,25
-395631433.595,52171184.4664,389351563.905,26
-395631432.495,58220021.5712,365198259.015,27
-395631431.495,43041237.4073,365198259.015,28
-376791833.724,26721836.0084,365198259.015,29
-395631428.995,41752858.16,365198257.315,30
-377371525.627,28295325.17,365198260.865,31
-377371520.527,24899885.9476,365198257.665,32
-395631433.095,29215872.6992,365198257.665,33
-395631430.095,59543203.316,365198257.865,34
-377371520.827,57062241.732,365198258.265,35
-395631425.095,30346740.3627,365198258.165,36
-395631424.995,68474674.6184,365198259.265,37
-395631433.845,28983997.798,365198260.765,38
-377371520.977,45546264.404,365198261.265,39
-395631428.495,49619328.73,365198258.315,40
-376791839.624,54935696.16,365198258.615,41
-395631430.045,29215867.0492,365198258.765,42
-395631434.095,30433200.0304,365198259.015,43
-395631433.245,40171817.0301,365198260.665,44
-395631425.695,34654773.44,365198258.915,45
-377371524.827,29690929.926,365198258.115,46
-395631435.795,24742433.88,365198257.515,47
-395631433.745,53250020.92,365198257.715,48
-395631427.745,31302711.8098,365198259.165,49
-376791833.374,47925010.208,365198257.765,50
-395631427.495,38131339.2997,365198258.915,51
-377371517.277,78256771.8496,365198258.915,52
-118689420.019,2884530.73169,102560903.732,0
-134611179.495,9401417.74587,124065612.914,1
-156261493.174,14969961.7496,210249845.399,2
-306614357.531,2885516.128,242595977.514,3
-280333130.231,9105198.5975,245291489.765,4
-280333131.831,1748112.86,350416411.464,5
-300356919.627,3594020.41835,350416411.714,6
-377371513.477,8.85,350416411.714,7
-327055315.27,15.65,350416411.714,8
-395631431.995,3246540.01215,350416413.114,9
-350416413.214,12.35,350416413.214,10
-359401443.785,1040595.904,350416414.564,11
-395631435.595,8477819.88704,350416417.214,12
-350416416.814,6067811.83488,350416416.114,13
-395631429.245,9189244.0884,365198250.165,14
-395631424.645,3877059.477,350416417.864,15
-395631430.145,10696471.032,350416418.964,16
-395631431.695,26877150.285,389351567.355,17
-395631424.495,30035686.3427,389351571.105,18
-395631434.145,28033313.5031,389351571.055,19
-395631430.595,26708571.436,389351568.855,20
-395631427.445,31765279.842,389351574.455,21
-395631433.495,30471000.5317,389351573.755,22
-350416410.214,64274755.7887,389351568.355,23
-395631422.745,35756772.9984,389351573.005,24
-395631425.195,46627997.9787,389351570.355,25
-377371513.377,29006036.3321,389351571.805,26
-395631421.595,23104385.9751,350416418.114,27
-395631424.845,51147319.1027,350416418.364,28
-350416411.614,35395592.5868,389351564.355,29
-395631427.445,65744167.404,389351567.205,30
-377371518.627,35395596.6868,389351567.905,31
