low,median,high,generation
0,87,200,0
0,92,200,1
0,105,200,2
0,95,200,3
0,103,200,4
0,103,200,5
0,105,200,6
0,113,200,7
0,98,200,8
0,100,200,9
0,105,200,10
0,108,200,11
0,99,199,12
0,104,200,13
0,102,200,14
0,99,200,15
0,104,199,16
0,104,199,17
0,103,200,18
0,101,200,19
0,99,200,20
0,99,200,21
0,99,200,22
0,101,200,23
0,95,200,24
0,98,200,25
0,101,197,26
0,99,199,27
0,104,199,28
0,105,199,29
0,109,200,30
0,104,200,31
0,105,200,32
0,103,200,33
0,99,200,34
0,108,200,35
0,101,200,36
0,102,200,37
0,101,200,38
0,99,200,39
0,101,198,40
0,99,200,41
0,104,200,42
0,104,200,43
0,106,200,44
0,101,199,45
0,97,200,46
0,101,200,47
0,99,200,48
0,101,200,49
0,104,200,50
0,107,200,51
0,113,200,52
0,106,200,53
0,98,200,54
0,100,200,55
0,95,200,56
0,102,200,57
0,106,200,58
0,107,199,59
0,108,200,60
0,99,200,61
0,98,200,62
0,95,200,63
0,102,200,64
0,105,200,65
0,101,200,66
0,102,200,67
0,102,200,68
0,99,200,69
0,104,200,70
0,101,200,71
0,94,200,72
0,94,200,73
0,98,199,74
0,100,199,75
0,98,200,76
0,93,196,77
0,90,199,78
0,97,199,79
0,98,200,80
0,103,200,81
0,97,200,82
0,97,200,83
0,95,200,84
0,99,200,85
0,105,199,86
0,103,200,87
0,92,200,88
0,97,200,89
0,96,200,90
0,97,199,91
0,102,200,92
0,107,200,93
0,105,200,94
0,100,200,95
0,95,199,96
0,99,200,97
0,99,200,98
0,96,199,99
0,98,198,100
0,102,200,101
0,103,199,102
0,96,200,103
0,99,200,104
0,100,200,105
0,102,199,106
0,101,200,107
0,103,200,108
0,96,200,109
0,97,200,110
0,101,198,111
0,107,200,112
0,107,200,113
0,108,200,114
0,100,200,115
0,101,199,116
0,103,199,117
0,101,200,118
0,102,200,119
0,102,200,120
0,104,199,121
0,109,200,122
0,103,200,123
0,94,198,124
0,100,199,125
0,101,200,126
0,109,200,127
0,98,200,128
0,102,200,129
0,108,200,130
0,103,199,131
0,101,200,132
0,102,200,133
0,102,200,134
0,106,200,135
0,104,200,136
0,99,200,137
0,106,199,138
0,107,200,139
0,98,200,140
0,99,200,141
0,99,200,142
0,100,200,143
0,104,199,144
0,104,200,145
0,98,199,146
0,110,199,147
0,103,200,148
0,103,200,149
0,97,200,150
0,94,199,151
0,96,200,152
0,90,200,153
0,108,200,154
0,103,200,155
0,106,200,156
0,107,200,157
0,103,198,158
0,101,200,159
0,105,200,160
0,100,200,161
0,99,200,162
0,105,200,163
0,106,200,164
0,105,200,165
0,91,199,166
0,104,200,167
0,97,200,168
0,101,200,169
0,94,200,170
0,100,200,171
0,100,200,172
0,108,200,173
0,103,200,174
0,98,200,175
0,96,200,176
